ID,Donor,Acceptor,DA,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_atot_UV,features_XD_UV,features_XA_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127
26,PM6,L8-BO,PM6-L8-BO,xylene,0,24,2000,225.8604106,2.008111408,0.075397174,2.169959124,0.724926838,0.015308768,0.075757934,1.562483619,0.090963665,0.584837384,0.513734025,0.486265975,59.28553266,26.84998246,13.4865583,0.847243804,0.0247,0.8051,14.16,0.0028,0.000919926,0.950257761,0.238844105,0.000207614,1,0,0,0,0,0,0,0,1,0
26,PM6,L8-BO,PM6-L8-BO,xylene,0,24,2000,220.2631836,2.007896699,0.075403412,2.169868115,0.725560386,0.009306509,0.075845238,1.562030701,0.090853428,0.570753123,0.513166639,0.486833361,59.75069771,26.65536832,13.48430766,0.84664429,0.7432,0.7974,45.43,0.2692,0.027881813,0.941835916,0.76032585,0.019963947,1,0,0,0,0,0,0,0,1,0
26,PM6,L8-BO,PM6-L8-BO,xylene,0,24,2000,222.4781264,2.008251615,0.075424546,2.170114029,0.723720419,0.011540284,0.075728926,1.562663275,0.090874922,0.57583708,0.514034301,0.485965699,59.53143779,26.57777991,13.36827774,0.844909878,0.0142,0.252,25,0.0009,0.000534281,0.298256662,0.419946182,6.73236E-05,1,0,0,0,0,0,0,0,1,0
27,PM6,L8-BO,PM6-L8-BO,xylene,0,21,2000,144.980468,2.004570234,0.07608094,2.168024337,0.700494105,0.030139807,0.071709637,1.5652996,0.088618356,0.365390209,0.511174619,0.488825381,70.4701406,24.39512857,14.74056167,0.857444033,16.885,0.8136,59.6,8.1883,0.692146383,0.948866595,0.845748277,0.555494437,1,0,0,0,0,0,0,0,1,0
27,PM6,L8-BO,PM6-L8-BO,xylene,0,21,2000,149.4265011,2.004511705,0.076083127,2.168033912,0.699700764,0.023226073,0.071069582,1.566085514,0.088345932,0.37516229,0.515743574,0.484256426,69.90786349,24.28944379,14.52002533,0.855113523,16.8027,0.8134,58.86,8.0436,0.691769649,0.951218731,0.841965368,0.553965976,1,0,0,0,0,0,0,0,1,0
27,PM6,L8-BO,PM6-L8-BO,xylene,0,21,2000,151.3994795,2.004255062,0.076199004,2.167879896,0.690787677,0.020570591,0.068765758,1.568328384,0.088211067,0.377383799,0.521221448,0.478778552,69.2311512,24.3218633,14.45333808,0.858360581,17.8988,0.8187,59.54,8.7238,0.735914012,0.953794965,0.860017477,0.60358375,1,0,0,0,0,0,0,0,1,0
27,PM6,L8-BO,PM6-L8-BO,xylene,0,21,2000,151.4568653,2.003879847,0.076162715,2.167706147,0.693382523,0.018523007,0.068957997,1.567771547,0.088070074,0.37662811,0.52258498,0.47741502,69.33418341,24.07070641,14.31896606,0.857976552,17.9318,0.8184,59.87,8.7861,0.744963596,0.953872222,0.863499028,0.613598773,1,0,0,0,0,0,0,0,1,0
28,PM6,L8-BO,PM6-L8-BO,xylene,0,21,1000,214.1378085,2.008527335,0.075184979,2.169868944,0.735815474,0.000284265,0.077391558,1.55896303,0.090868924,0.566555383,0.50187931,0.49812069,61.30789363,26.19915749,13.5126818,0.841274702,18.6693,0.8147,56.92,8.6581,0.712591617,0.968411386,0.92842857,0.640738835,1,0,0,0,0,0,0,0,1,0
28,PM6,L8-BO,PM6-L8-BO,xylene,0,21,1000,209.1457409,2.007617265,0.075447376,2.169513185,0.724875302,3.55429E-26,0.075547284,1.561553855,0.090704922,0.549831537,0.505881984,0.494118016,62.31198374,25.67840613,13.45000632,0.840587345,18.5943,0.8133,57,8.6198,0.724122047,0.967537764,0.914751811,0.640877022,1,0,0,0,0,0,0,0,1,0
28,PM6,L8-BO,PM6-L8-BO,xylene,0,21,1000,212.9053802,2.008109582,0.074708477,2.16930281,0.740262635,0.000817977,0.077298637,1.558113112,0.090656412,0.561820235,0.502538304,0.497461696,60.53085597,26.07785472,13.24419481,0.839028829,18.1957,0.8105,56.05,8.2662,0.697745278,0.965997796,0.925974019,0.624137603,1,0,0,0,0,0,0,0,1,0
